airport_id,ident,name,city,tower_frequency,is_closed,num_runway_water,num_helipad,longest_runway_length,longest_runway_width,num_runways,rating,altitude,lonx,laty
66008,VYMO,Momeik,Momeik,118.700Mhz,0,0,0,4437,40,1,3,600,96.64514923,23.09245491
66015,EJN,Ejin Banner-Taolai Airport,Dalain Hob,None,0,0,0,6950,143,1,3,3073,101.0005951,42.01551819
66016,ZLJQ,Jiayuguan Airport,Jiayuguan,118.200Mhz,0,0,0,9838,138,1,3,5102,98.33840942,39.85963058
66017,ZXIE,Qingshui Air Base,Xiaheqing,None,0,0,0,9376,141,1,3,4863,98.8844986,39.55404282
66018,ZJIJ,Dingxin/Shuangchengzi Air Base,Jiji,None,0,0,0,13456,195,1,4,3788,99.7893219,40.40165329
66023,ZDOO,Zhangye Ganzhou Airport,Dongle,None,0,0,0,8107,182,1,3,5191,100.6635742,38.80715561
66024,ZQIN,Haibei Airport,Qinghaihu,None,0,0,0,3296,87,1,0,10307,100.8575821,36.99066925
66027,ZUDC,Daocheng Yading Airport,Sangpi,None,0,0,0,13762,164,1,3,14477,100.060463,29.31683159
66029,VYNM,Naungmom Airport,Cikai,None,0,0,0,3150,99,1,0,1786,97.81423187,27.51153946
66030,ZPDQ,Diqing Airport,Shangri-La,None,0,0,0,11796,133,1,3,10761,99.677948,27.79229736
66031,ZPLJ,Sanyi,None,118.450Mhz,0,0,0,9808,136,1,3,7329,100.2447357,26.67704773
66032,ZPDL,Dali Airport,Dali,None,0,0,0,8738,130,1,3,7047,100.31884,25.64974022
66033,ZXIA,Xiangyun Midu Air Base,Xiangcheng,None,0,0,0,8518,148,1,3,6426,100.7346878,25.44548416
66039,ZDII,Baoshan Yunduan Airport,Dianyang,None,0,0,0,7849,144,1,3,5454,99.16758728,25.05202484
66040,ZDEE,Dedang Airport,Dedang,None,0,0,0,1239,25,2,1,4755,99.28416443,24.20859718
66041,ZPLX,Mangshi Airport,Longshan,None,0,0,0,7212,144,1,3,2881,98.53201294,24.40132523
66042,VYLS,Lashio,Lashio,118.700Mhz,0,0,0,5252,90,1,3,2504,97.75243378,22.9777317
66043,ZMEE,Lintsang Airfield,Mengmeng,None,0,0,0,7868,144,1,3,6214,100.0245209,23.73900986
66044,ZPSM,Pu'er Simao Airport,Simao,None,0,0,0,8200,145,1,3,4253,100.9592514,22.79368019
66051,ZMDZ,Dalandzadgad Airport,Dalandzadgad,None,0,0,0,7243,87,1,3,4773,104.3675385,43.60886383
66052,ZMGT,Urt Airport,Urt,None,0,0,0,7271,96,1,3,5128,101.3338623,43.01261902
66055,JIC,Jinchuan Airport,Jinchang,None,0,0,0,9814,135,1,3,4726,102.3485031,38.54208755
66057,ZLXN,Caojiapu,None,118.500Mhz,0,0,0,12457,141,2,3,7127,102.0413437,36.52896881
66058,ZLLL,Zhongchuan,Lanzhou,118.025Mhz,0,0,0,11815,134,1,4,6355,103.6208038,36.51524734
66059,ZYUZ,Lanzhou Air Base,Yuzhong Chengguanzhen,None,0,0,0,7825,129,1,3,5784,104.2180557,35.91796875
66060,ZTAA,Ljtao Air Base,Taoyang,None,0,0,0,9857,170,1,3,6279,103.8357925,35.30675888
66061,ZNYI,Nyinma Airport,Nyinma,None,0,0,0,3211,82,1,0,11333,102.1160812,33.98980713
66067,ZUJZ,Jiuzhai Huanglong Airport,Jin'An,None,0,0,0,10925,142,1,3,11324,103.6821518,32.85319138
66068,ZUGH,Guanghan Airport,Luocheng,None,0,0,0,7184,129,1,3,1525,104.3296051,30.94849777
66069,ZUMY,Mianyang Airport,Mianyang,None,0,0,0,7866,136,1,3,1704,104.7398224,31.42999649
66073,ZUKD,Kangding Airport,Kangding,None,0,0,0,13114,146,1,3,13958,101.738533,30.14309502
66074,ZUUU,Shuangliu,Chengdu,118.850Mhz,0,0,0,11808,187,2,4,1638,103.9453506,30.55651283
66075,ZCHE,Chengdu Airport,Chengdu,None,0,0,0,8328,174,2,3,1606,104.0171738,30.60321236
66076,ZUXJ,Wujin Airport,Wujin,None,0,0,0,3929,84,1,3,1507,103.8443756,30.42114067
66077,ZXII,Chengdu Air Base,Xipu,None,0,0,0,8151,161,1,3,1682,103.9497147,30.70329666
66078,ZUCG,Chengdu Airport,Chengdu,None,0,0,0,4805,81,1,3,1649,104.0929413,30.73057938
66079,ZUYB,Yibin Caiba Airport,Yibin,None,0,0,0,7212,147,1,3,923,104.5452728,28.80058098
66087,ZUXC,Qingshan,Xichang,118.200Mhz,0,0,0,11802,154,1,3,5094,102.1843109,27.98892975
66088,ZPZT,Zhaotong Airport,Zhaotong,None,0,0,0,8521,144,1,3,6329,103.7565308,27.32785034
66089,ZREE,Bao'anying Airport,Renhe,None,0,0,0,9164,132,1,3,6449,101.7984772,26.53998184
66090,ZYUU,Yuanmou Air Base,Yuanmou,None,1,0,0,9179,153,1,1,3812,101.881485,25.73796654
66091,ZXIP,Zhanyi Airport,Xiping,None,0,0,0,5237,143,1,3,6102,103.8292999,25.59289551
66097,ZPPP,Wujiaba,Kunming,118.100Mhz,1,0,0,11123,141,1,3,6217,102.7435532,24.99240685
66098,ZZHO,Luliang Air Base,Zhongshu,None,0,0,0,9821,164,1,3,6074,103.6427612,24.98814964
66099,ZUYI,Xingyi Airport,Xinzhou,None,0,0,0,7522,136,1,3,4135,104.9594879,25.08661652
66100,ZWEE,Mengzi Air Base,Wenlan,None,0,0,0,8164,166,1,3,4237,103.3344269,23.39446068
66101,ZPWS,Wenshan Puzhehei Airport,Jiangna,None,0,0,0,7875,147,1,3,5212,104.3254623,23.55831337
66107,ZMTT,Tavantolgoi,None,None,0,0,0,7699,110,1,3,4750,105.5788803,43.77366638
66108,ZMKB,Khanbumbat,None,None,0,0,0,10884,176,1,3,3912,106.8443451,43.14448929
66111,ZBYZ,Bayannur Tianjitai Airport,Xamba,None,0,0,0,8507,143,1,3,3403,107.7394485,40.92692947
66112,ZBUH,Wuhai Airport,Wuhai,None,0,0,0,7523,143,1,3,3621,106.7995911,39.79478073
66115,ZBAY,Bayan Hot Airport,Bayan Hot,None,0,0,0,7869,83,1,3,4571,105.5841446,38.74836349
66116,ZLIC,Hedong,None,118.350Mhz,0,0,0,10494,143,1,3,3719,106.3934326,38.3228035
66117,ZLZW,Zhongwei Shapotou Airport,Binhe,None,0,0,0,9176,139,1,3,4063,105.1548309,37.57318878
66121,ZLGY,Guyuan Liupanshan Airport,Heiquan,None,0,0,0,9164,135,1,3,5686,106.2167511,36.07911301
66122,ZLQY,Qingyang Airport,Nanjie,None,0,0,0,6546,93,1,3,4601,107.60186,35.80029678
66123,ZBEE,Tianshui Maijishan Airport,Beidao,None,0,0,0,9184,145,1,3,3589,105.860321,34.56010437
66124,ZTIA,Baoji Air Base,Tianjiazhuang,None,0,0,0,5922,166,1,3,2657,107.4708405,34.53129578
66125,ZBOJ,Bojia Airport,Bojia,None,0,0,0,2137,101,1,0,4576,108.5147171,34.98333359
66126,ZLAA,Xian Air Base,Laodian,None,0,0,0,7550,166,1,3,1318,108.5997696,34.15308762
66127,ZLXY,Xianyang,Xi'An,118.150Mhz,0,0,0,12455,156,2,3,1556,108.7594376,34.43962097
66135,ZUGU,Guangyuan Airport,Guangyuan,None,0,0,0,8194,138,1,3,2029,105.6948776,32.39046478
66136,ZLHZ,Hanzhong Chenggu Airport,Qili,None,0,0,0,8172,148,1,3,1617,107.2044907,33.13429642
66139,ZUNC,Nanchong Airport,Gaoping,None,0,0,0,7815,143,1,3,1145,106.1626358,30.79546165
66140,ZZHI,Dazu Air Base,Zhifeng,None,0,0,0,7199,145,1,3,1201,105.7736511,29.63653564
66141,ZUCK,Jiangbei,Chongqing,118.200Mhz,0,0,0,11824,157,2,1,1337,106.6437378,29.71961021
66142,ZUWX,Wanxian Airport,Wuqiao,118.800Mhz,0,0,0,7832,144,1,3,1852,108.4330521,30.8017807
66143,ZULZ,Luzhou Airport,Luzhou,None,0,0,0,7864,144,1,3,807,105.3925781,28.85261536
66144,ZBAI,Chongqing Air Base,Baishiyi,None,0,0,0,7834,137,1,3,980,106.3590546,29.49589539
66151,ZUAS,Anshun Huangguoshu Airport,Anshun,None,0,0,0,9158,139,1,3,4806,105.873291,26.26058197
66152,ZUGY,Longdongbao,None,118.050Mhz,0,0,0,10483,137,1,3,3733,106.8011551,26.53818512
66153,ZGUI,Guiyang Air Base,Guiyang,None,0,0,0,9158,191,1,3,3952,106.5320206,26.41073608
66157,ZTII,Baise Youjiang Airport,Tianzhou,None,0,0,0,8188,143,1,3,479,106.9602737,23.72002792
66159,ZBER,Erenhot Saiwusu International Airport,Erenhot,118.250Mhz,1,0,0,7877,163,1,3,3313,112.0919266,43.42387009
66161,ZBHH,Baita,Hohhot,118.100Mhz,0,0,0,11805,141,1,3,3533,111.8245392,40.84972382
66162,ZULA,Ulashan Airport,Ulashan,None,0,0,0,7838,164,1,3,3363,108.9979324,40.61436081
66163,ZULL,Ulashan Airport,Ulashan,None,0,0,0,7870,164,1,4,3363,108.9979401,40.61435318
66164,ZBOW,Baotou,None,118.200Mhz,0,0,0,9173,135,1,3,3308,109.9984818,40.55939484
66165,ZBDS,Ejin Horo,None,118.150Mhz,0,0,0,9180,141,1,3,4585,109.8618469,39.49253464
66166,ZQAA,Hohhot Air Base,Qasq,None,0,0,0,7877,149,1,3,3416,111.2297974,40.73698044
66173,ZLYL,Yulin Yuyang Airport,Yulin,118.550Mhz,0,0,0,9175,151,1,3,3873,109.5926666,38.35695648
66174,ZYUL,Yulin Airport,Yulin,None,0,0,0,1762,28,1,3,3462,109.4302444,38.08660507
66175,ZHEZ,Hezhi Airport,Hezhi,None,0,0,0,8823,148,1,3,4383,111.7522659,39.05882645
66176,ZYUI,Yulin Airport,Yulin,None,0,0,0,8516,141,1,3,2937,110.0712814,37.87340546
66181,ZLPC,Pucheng Neifu Airport,Chenzhuang,None,0,0,0,3934,145,1,3,1222,109.544281,34.83337402
66182,ZYAL,Yanliang Air Base,Yanliang,None,0,0,0,11152,189,2,3,1266,109.2413559,34.6429863
66183,ZLSN,Xi'an Xiguan Airport,Xiquan,None,0,0,0,9159,159,1,3,1279,109.1203842,34.37689209
66184,ZBYC,Yuncheng Guangong Airport,Anyi,118.700Mhz,0,0,0,9832,145,1,3,1248,111.031456,35.11648941
66185,ZHLY,Luoyang Airport,Luoyang,None,0,0,0,8190,145,1,3,857,112.3878479,34.7412796
66191,ZLAK,Ankang Wulipu Airport,Ankang,None,0,0,0,5237,97,1,3,849,108.9311752,32.70809555
66192,ZHGH,Guangzhou MR Air Base,Laohekou,None,0,0,0,10488,199,1,3,311,111.6941605,32.38959122
66193,ZQUT,Qutun Airport,Qutun,None,0,0,0,9191,160,1,3,485,111.8853531,32.97247696
66194,ZHXF,Xiangyang Liuji Airport,Shuanggou,None,0,0,0,7865,140,1,3,218,112.290802,32.15051651
66195,ZZHB,Zhanghe Airport,Zhanghe,None,0,0,0,1473,66,1,3,448,112.0592422,30.98359871
66201,ZHYC,Yichang Sanxia Airport,Yunchi,118.350Mhz,0,0,0,8533,141,1,4,648,111.4800797,30.55645752
66202,ZHSS,Shashi Airport,Shashi,None,0,0,0,5899,148,1,3,90,112.2799759,30.32489967
66203,ZYUQ,Dangyang Air Base,Yuquan,None,0,0,0,9174,142,1,3,214,111.8111115,30.79861641
66204,JIQ,Qianjiang Wulingshan Airport,Zhoubai,None,0,0,0,7867,136,1,3,2088,108.8319092,29.51473618
66209,ZGCJ,Zhijiang Airport,Zhijiang,None,0,0,0,6550,140,1,3,872,109.7052155,27.44388962
